study_id,outcome_id,title,year,authors,outcome_name,outcome_dimension,blooms_level,n_treatment,n_control,m_treatment,sd_treatment,m_control,sd_control,hedges_g,se_g,ci_lower,ci_upper,cohens_d,t_value,f_value,p_value,eta_squared,study_design,genai_tool,source,doi,age_mean_control,age_mean_treatment,age_sd_control,age_sd_treatment,baseline_age_p,baseline_age_t,baseline_gender_chi2,baseline_gender_p,baseline_gpa_p,baseline_gpa_t,extraction_confidence,gender_female_n_control,gender_female_n_treatment,gender_male_n_control,gender_male_n_treatment,gpa_mean_control,gpa_mean_treatment,gpa_sd_control,gpa_sd_treatment,grade_level_control,grade_level_treatment,group_label_control,group_label_treatment,notes,program_type_control,program_type_treatment
46,046_12,"Empowering ChatGPT with Guidance Mechanism in Blended Learning: Effect of Self-Regulated Learning, Higher-Order Thinking Skills, and Knowledge Construction",2024,Hsin-Yu Lee; Pei-Hua Chen; Wei-Sheng Wang; Yueh-Min Huang; Ting-Ting Wu,Chemistry knowledge,cognitive,understand,31,30,79.7,6.77,74.7,8.55,0.6413,0.2626,0.1266,1.1561,0.6496,NA,6.1,0.017,0.1,RCT,ChatGPT (gpt-3.5-turbo-16k),International Journal of Educational Technology in Higher Education,10.1186/s41239-024-00447-4,,,,,,,,,,,medium,15,15,15,16,,,,,first-year,first-year,CG,TG,"From methodology section: TG (16 males, 15 females), CG (15 males, 15 females). First-year undergraduate chemistry students in Taiwan. No formal baseline demographics table found.",undergraduate,undergraduate
46,046_13,"Empowering ChatGPT with Guidance Mechanism in Blended Learning: Effect of Self-Regulated Learning, Higher-Order Thinking Skills, and Knowledge Construction",2024,Hsin-Yu Lee; Pei-Hua Chen; Wei-Sheng Wang; Yueh-Min Huang; Ting-Ting Wu,Chemistry knowledge,cognitive,understand,31,30,75.9,6.36,69.3,6.94,0.9796,0.271,0.4484,1.5108,0.9923,NA,8.2,0.006,0.124,RCT,ChatGPT (gpt-3.5-turbo-16k),International Journal of Educational Technology in Higher Education,10.1186/s41239-024-00447-4,,,,,,,,,,,medium,15,15,15,16,,,,,first-year,first-year,CG,TG,"From methodology section: TG (16 males, 15 females), CG (15 males, 15 females). First-year undergraduate chemistry students in Taiwan. No formal baseline demographics table found.",undergraduate,undergraduate
47,047_01,Enhancing Math Learning with AI: ChatGPT's Impact on Number Base Conversion Comprehension,2024,Sireesha Prathigadapa; Salwani Binti Mohd Daud; Bryan Thien Chek Hui; Morampudi Rama Tulasi Raju,Number Base Conversion Performance,cognitive,apply,170,170,18.39,2.39,14.71,3.12,1.3212,0.1197,1.0866,1.5559,1.3242,NA,NA,NA,NA,RCT,not_reported,Semantic Scholar,10.6007/IJARPED/v13-i3/21642,,,,,,,,,,,high,,,,,,,,,"Year 1, semester 2","Year 1, semester 2",Control,Experimental,"No baseline demographics table found. Only overall gender breakdown reported (202 males, 138 females total). Groups described as BSc computing students, Year 1 semester 2.",undergraduate,undergraduate
47,047_02,Enhancing Math Learning with AI: ChatGPT's Impact on Number Base Conversion Comprehension,2024,Sireesha Prathigadapa; Salwani Binti Mohd Daud; Bryan Thien Chek Hui; Morampudi Rama Tulasi Raju,Number Base Conversion Performance,cognitive,apply,170,170,14.64,5.01,14.35,5.1,0.0572,0.1085,-0.1554,0.2699,0.0574,NA,NA,NA,NA,RCT,not_reported,Semantic Scholar,10.6007/IJARPED/v13-i3/21642,,,,,,,,,,,high,,,,,,,,,"Year 1, semester 2","Year 1, semester 2",Control,Experimental,"No baseline demographics table found. Only overall gender breakdown reported (202 males, 138 females total). Groups described as BSc computing students, Year 1 semester 2.",undergraduate,undergraduate
48,048_01,Enhancing University Level English Proficiency with Generative AI: Empirical Insights into Automated Feedback and Learning Outcomes,2024,Sumie Chan; N. Lo; Alan Wong,essay writing quality,cognitive,create,342,576,63.98969,NA,61.15464,NA,0.201011706,0.068425837,0.066897065,0.335126346,0.201176469,2.947,NA,0.0036,NA,RCT,GPT-3.5-turbo,Contemporary Educational Technology,10.30935/cedtech/15607,,,,,,,,,,,low,,,,,,,,,,,Control,Feedback,No baseline demographics table found in provided pages. Table 1 shows outcome measures only. Study mentions 918 language students at Hong Kong university.,,
48,048_02,Enhancing University Level English Proficiency with Generative AI: Empirical Insights into Automated Feedback and Learning Outcomes,2024,Sumie Chan; N. Lo; Alan Wong,emotion,affective,not_reported,342,576,4.556701,3.07,3.762887,2.761,0.2754,0.0686,0.141,0.4098,0.2756,1.884,NA,0.0611,NA,RCT,GPT-3.5-turbo,Contemporary Educational Technology,10.30935/cedtech/15607,,,,,,,,,,,low,,,,,,,,,,,Control,Feedback,No baseline demographics table found in provided pages. Table 1 shows outcome measures only. Study mentions 918 language students at Hong Kong university.,,
48,048_03,Enhancing University Level English Proficiency with Generative AI: Empirical Insights into Automated Feedback and Learning Outcomes,2024,Sumie Chan; N. Lo; Alan Wong,motivation,affective,not_reported,342,576,5.051546,3.108,3.350515,2.479,0.6225,0.0698,0.4857,0.7593,0.6231,4.193,NA,0.00004,NA,RCT,GPT-3.5-turbo,Contemporary Educational Technology,10.30935/cedtech/15607,,,,,,,,,,,low,,,,,,,,,,,Control,Feedback,No baseline demographics table found in provided pages. Table 1 shows outcome measures only. Study mentions 918 language students at Hong Kong university.,,
48,048_04,Enhancing University Level English Proficiency with Generative AI: Empirical Insights into Automated Feedback and Learning Outcomes,2024,Sumie Chan; N. Lo; Alan Wong,engagement,behavioral,not_reported,342,576,4.969072,3.411,3.989691,2.951,0.3126,0.0687,0.1781,0.4472,0.3129,2.089,NA,0.0346,NA,RCT,GPT-3.5-turbo,Contemporary Educational Technology,10.30935/cedtech/15607,,,,,,,,,,,low,,,,,,,,,,,Control,Feedback,No baseline demographics table found in provided pages. Table 1 shows outcome measures only. Study mentions 918 language students at Hong Kong university.,,
49,049_01,Enhancing Writing Proficiency through AI-Powered Feedback: A Quasi-Experimental Study Using Google Gemini,2024,Kartika S,writing proficiency,cognitive,create,40,40,78.4,6.2,70.1,7.4,0.7923,NA,NA,NA,0.8,6.5,NA,0.0001,NA,RCT,not_reported,Semantic Scholar,10.63324/h6q1ak58,,,,,,,,,,,low,,,,,,,,,,,Control Class,Experimental Class,"Text mentions ages ranged 18-22 years, intermediate writing skills, similar educational backgrounds. No baseline demographics table found in provided pages.",undergraduate,undergraduate
49,049_02,Enhancing Writing Proficiency through AI-Powered Feedback: A Quasi-Experimental Study Using Google Gemini,2024,Kartika S,student satisfaction with feedback,affective,not_reported,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RCT,ChatGPT,Semantic Scholar,10.63324/h6q1ak58,,,,,,,,,,,low,,,,,,,,,,,Control Class,Experimental Class,"Text mentions ages ranged 18-22 years, intermediate writing skills, similar educational backgrounds. No baseline demographics table found in provided pages.",undergraduate,undergraduate
50,050_01,Enhancing self-directed learning with custom GPT AI facilitation among medical students: A randomized controlled trial,2024,Shalong Wang; Zuo Yi; Zou Bin; Ganglei Liu; Zhou Jinyu; Yanwen Zheng; Zhang Zequn; Lianwen Yuan; Ren Feng,Baseline SDLS Score,metacognitive,not_reported,50,51,28,-50,27,30.5,0.024,0.199,-0.3661,0.4141,0.0242,NA,NA,0.1,NA,RCT,ChatGPT,Semantic Scholar,10.1080/0142159X.2024.2413023,24.8,25,2.6,2,0.73,,,0.77,,,high,22,24,30,27,,,,,undergraduate and postgraduate,undergraduate and postgraduate,Control group,Intervention group,"Table 1 shows participant demographic characteristics. Control group (n=52): 22 undergraduate (42%), 30 postgraduate (58%). Intervention group (n=51): 21 undergraduate (41%), 30 postgraduate (59%). Entrance English scores also reported.",undergraduate and postgraduate,undergraduate and postgraduate
50,050_02,Enhancing self-directed learning with custom GPT AI facilitation among medical students: A randomized controlled trial,2024,Shalong Wang; Zuo Yi; Zou Bin; Ganglei Liu; Zhou Jinyu; Yanwen Zheng; Zhang Zequn; Lianwen Yuan; Ren Feng,Baseline CCTS Score,cognitive,analyze,50,51,24,-52,25,28.5,-0.0237,0.199,-0.4138,0.3664,-0.0239,NA,NA,0.23,NA,RCT,ChatGPT,Semantic Scholar,10.1080/0142159X.2024.2413023,24.8,25,2.6,2,0.73,,,0.77,,,high,22,24,30,27,,,,,undergraduate and postgraduate,undergraduate and postgraduate,Control group,Intervention group,"Table 1 shows participant demographic characteristics. Control group (n=52): 22 undergraduate (42%), 30 postgraduate (58%). Intervention group (n=51): 21 undergraduate (41%), 30 postgraduate (59%). Entrance English scores also reported.",undergraduate and postgraduate,undergraduate and postgraduate
50,050_03,Enhancing self-directed learning with custom GPT AI facilitation among medical students: A randomized controlled trial,2024,Shalong Wang; Zuo Yi; Zou Bin; Ganglei Liu; Zhou Jinyu; Yanwen Zheng; Zhang Zequn; Lianwen Yuan; Ren Feng,Baseline GFS Score,affective,not_reported,50,51,4.2,-7,3.9,3.3,0.0546,0.1991,-0.3356,0.4447,0.055,NA,NA,0.06,NA,RCT,ChatGPT,Semantic Scholar,10.1080/0142159X.2024.2413023,24.8,25,2.6,2,0.73,,,0.77,,,high,22,24,30,27,,,,,undergraduate and postgraduate,undergraduate and postgraduate,Control group,Intervention group,"Table 1 shows participant demographic characteristics. Control group (n=52): 22 undergraduate (42%), 30 postgraduate (58%). Intervention group (n=51): 21 undergraduate (41%), 30 postgraduate (59%). Entrance English scores also reported.",undergraduate and postgraduate,undergraduate and postgraduate
50,050_04,Enhancing self-directed learning with custom GPT AI facilitation among medical students: A randomized controlled trial,2024,Shalong Wang; Zuo Yi; Zou Bin; Ganglei Liu; Zhou Jinyu; Yanwen Zheng; Zhang Zequn; Lianwen Yuan; Ren Feng,SDLS Score 6 weeks,metacognitive,not_reported,50,51,31,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,RCT,ChatGPT,Semantic Scholar,10.1080/0142159X.2024.2413023,24.8,25,2.6,2,0.73,,,0.77,,,high,22,24,30,27,,,,,undergraduate and postgraduate,undergraduate and postgraduate,Control group,Intervention group,"Table 1 shows participant demographic characteristics. Control group (n=52): 22 undergraduate (42%), 30 postgraduate (58%). Intervention group (n=51): 21 undergraduate (41%), 30 postgraduate (59%). Entrance English scores also reported.",undergraduate and postgraduate,undergraduate and postgraduate
50,050_05,Enhancing self-directed learning with custom GPT AI facilitation among medical students: A randomized controlled trial,2024,Shalong Wang; Zuo Yi; Zou Bin; Ganglei Liu; Zhou Jinyu; Yanwen Zheng; Zhang Zequn; Lianwen Yuan; Ren Feng,SDLS Score 12 weeks,metacognitive,not_reported,50,51,33.5,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,RCT,ChatGPT,Semantic Scholar,10.1080/0142159X.2024.2413023,24.8,25,2.6,2,0.73,,,0.77,,,high,22,24,30,27,,,,,undergraduate and postgraduate,undergraduate and postgraduate,Control group,Intervention group,"Table 1 shows participant demographic characteristics. Control group (n=52): 22 undergraduate (42%), 30 postgraduate (58%). Intervention group (n=51): 21 undergraduate (41%), 30 postgraduate (59%). Entrance English scores also reported.",undergraduate and postgraduate,undergraduate and postgraduate
50,050_06,Enhancing self-directed learning with custom GPT AI facilitation among medical students: A randomized controlled trial,2024,Shalong Wang; Zuo Yi; Zou Bin; Ganglei Liu; Zhou Jinyu; Yanwen Zheng; Zhang Zequn; Lianwen Yuan; Ren Feng,SDLS Score 14 weeks,metacognitive,not_reported,50,51,34.4,NA,28.4,NA,NA,NA,NA,NA,NA,NA,NA,<.001,NA,RCT,ChatGPT,Semantic Scholar,10.1080/0142159X.2024.2413023,24.8,25,2.6,2,0.73,,,0.77,,,high,22,24,30,27,,,,,undergraduate and postgraduate,undergraduate and postgraduate,Control group,Intervention group,"Table 1 shows participant demographic characteristics. Control group (n=52): 22 undergraduate (42%), 30 postgraduate (58%). Intervention group (n=51): 21 undergraduate (41%), 30 postgraduate (59%). Entrance English scores also reported.",undergraduate and postgraduate,undergraduate and postgraduate
50,050_07,Enhancing self-directed learning with custom GPT AI facilitation among medical students: A randomized controlled trial,2024,Shalong Wang; Zuo Yi; Zou Bin; Ganglei Liu; Zhou Jinyu; Yanwen Zheng; Zhang Zequn; Lianwen Yuan; Ren Feng,CCTS Score 6 weeks,cognitive,analyze,50,51,25,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,RCT,ChatGPT,Semantic Scholar,10.1080/0142159X.2024.2413023,24.8,25,2.6,2,0.73,,,0.77,,,high,22,24,30,27,,,,,undergraduate and postgraduate,undergraduate and postgraduate,Control group,Intervention group,"Table 1 shows participant demographic characteristics. Control group (n=52): 22 undergraduate (42%), 30 postgraduate (58%). Intervention group (n=51): 21 undergraduate (41%), 30 postgraduate (59%). Entrance English scores also reported.",undergraduate and postgraduate,undergraduate and postgraduate
50,050_08,Enhancing self-directed learning with custom GPT AI facilitation among medical students: A randomized controlled trial,2024,Shalong Wang; Zuo Yi; Zou Bin; Ganglei Liu; Zhou Jinyu; Yanwen Zheng; Zhang Zequn; Lianwen Yuan; Ren Feng,CCTS Score 12 weeks,cognitive,analyze,50,51,33.5,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,<.001,NA,RCT,ChatGPT,Semantic Scholar,10.1080/0142159X.2024.2413023,24.8,25,2.6,2,0.73,,,0.77,,,high,22,24,30,27,,,,,undergraduate and postgraduate,undergraduate and postgraduate,Control group,Intervention group,"Table 1 shows participant demographic characteristics. Control group (n=52): 22 undergraduate (42%), 30 postgraduate (58%). Intervention group (n=51): 21 undergraduate (41%), 30 postgraduate (59%). Entrance English scores also reported.",undergraduate and postgraduate,undergraduate and postgraduate
50,050_09,Enhancing self-directed learning with custom GPT AI facilitation among medical students: A randomized controlled trial,2024,Shalong Wang; Zuo Yi; Zou Bin; Ganglei Liu; Zhou Jinyu; Yanwen Zheng; Zhang Zequn; Lianwen Yuan; Ren Feng,CCTS Score 14 weeks,cognitive,analyze,50,51,33,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,<.001,NA,RCT,ChatGPT,Semantic Scholar,10.1080/0142159X.2024.2413023,24.8,25,2.6,2,0.73,,,0.77,,,high,22,24,30,27,,,,,undergraduate and postgraduate,undergraduate and postgraduate,Control group,Intervention group,"Table 1 shows participant demographic characteristics. Control group (n=52): 22 undergraduate (42%), 30 postgraduate (58%). Intervention group (n=51): 21 undergraduate (41%), 30 postgraduate (59%). Entrance English scores also reported.",undergraduate and postgraduate,undergraduate and postgraduate
50,050_10,Enhancing self-directed learning with custom GPT AI facilitation among medical students: A randomized controlled trial,2024,Shalong Wang; Zuo Yi; Zou Bin; Ganglei Liu; Zhou Jinyu; Yanwen Zheng; Zhang Zequn; Lianwen Yuan; Ren Feng,GFS Score 6 weeks,affective,not_reported,50,51,4.65,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,<.001,NA,RCT,ChatGPT,Semantic Scholar,10.1080/0142159X.2024.2413023,24.8,25,2.6,2,0.73,,,0.77,,,high,22,24,30,27,,,,,undergraduate and postgraduate,undergraduate and postgraduate,Control group,Intervention group,"Table 1 shows participant demographic characteristics. Control group (n=52): 22 undergraduate (42%), 30 postgraduate (58%). Intervention group (n=51): 21 undergraduate (41%), 30 postgraduate (59%). Entrance English scores also reported.",undergraduate and postgraduate,undergraduate and postgraduate
50,050_11,Enhancing self-directed learning with custom GPT AI facilitation among medical students: A randomized controlled trial,2024,Shalong Wang; Zuo Yi; Zou Bin; Ganglei Liu; Zhou Jinyu; Yanwen Zheng; Zhang Zequn; Lianwen Yuan; Ren Feng,GFS Score 12 weeks,affective,not_reported,50,51,5.3,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,<.001,NA,RCT,ChatGPT,Semantic Scholar,10.1080/0142159X.2024.2413023,24.8,25,2.6,2,0.73,,,0.77,,,high,22,24,30,27,,,,,undergraduate and postgraduate,undergraduate and postgraduate,Control group,Intervention group,"Table 1 shows participant demographic characteristics. Control group (n=52): 22 undergraduate (42%), 30 postgraduate (58%). Intervention group (n=51): 21 undergraduate (41%), 30 postgraduate (59%). Entrance English scores also reported.",undergraduate and postgraduate,undergraduate and postgraduate
51,051_01,Feedback sources in essay writing: peer-generated or AI-generated feedback?,2024,Seyyed Kazem Banihashem; Nafiseh Taghizadeh Kerman; Omid Noroozi; Jewoong Moon; Hendrik Drachsler,Affective feedback quality,affective,not_reported,146,146,1.91,0.2,1.93,0.18,-0.1048,0.1171,-0.3344,0.1247,-0.1051,NA,0.32,0.48,NA,not_reported,not_reported,OpenAlex,10.1186/s41239-024-00455-4,,,,,,,,,,,low,,,,,,,,,,,Peer feedback,ChatGPT feedback,"Overall sample: 74 graduate students, 77% female (N=57), 23% male (N=17), food sciences program. No baseline demographics table by group found in provided pages.",graduate,graduate
51,051_02,Feedback sources in essay writing: peer-generated or AI-generated feedback?,2024,Seyyed Kazem Banihashem; Nafiseh Taghizadeh Kerman; Omid Noroozi; Jewoong Moon; Hendrik Drachsler,Cognitive-Descriptive feedback quality,cognitive,understand,146,146,1.91,0.29,2,0,-0.437757814,0.118434653,-0.669889734,-0.205625895,-0.438893864,NA,3.25,0.05,0.03,not_reported,not_reported,OpenAlex,10.1186/s41239-024-00455-4,,,,,,,,,,,low,,,,,,,,,,,Peer feedback,ChatGPT feedback,"Overall sample: 74 graduate students, 77% female (N=57), 23% male (N=17), food sciences program. No baseline demographics table by group found in provided pages.",graduate,graduate
51,051_03,Feedback sources in essay writing: peer-generated or AI-generated feedback?,2024,Seyyed Kazem Banihashem; Nafiseh Taghizadeh Kerman; Omid Noroozi; Jewoong Moon; Hendrik Drachsler,Cognitive-Identification feedback quality,cognitive,understand,146,146,1.52,0.49,1.29,0.7,0.3797,0.1181,0.1482,0.6111,0.3807,NA,4.38,0.01,0.02,not_reported,not_reported,OpenAlex,10.1186/s41239-024-00455-4,,,,,,,,,,,low,,,,,,,,,,,Peer feedback,ChatGPT feedback,"Overall sample: 74 graduate students, 77% female (N=57), 23% male (N=17), food sciences program. No baseline demographics table by group found in provided pages.",graduate,graduate
51,051_04,Feedback sources in essay writing: peer-generated or AI-generated feedback?,2024,Seyyed Kazem Banihashem; Nafiseh Taghizadeh Kerman; Omid Noroozi; Jewoong Moon; Hendrik Drachsler,Cognitive-Justification feedback quality,cognitive,evaluate,146,146,0.66,0.32,0.62,0.37,0.1153,0.1171,-0.1143,0.3449,0.1156,NA,0.24,0.36,NA,not_reported,not_reported,OpenAlex,10.1186/s41239-024-00455-4,,,,,,,,,,,low,,,,,,,,,,,Peer feedback,ChatGPT feedback,"Overall sample: 74 graduate students, 77% female (N=57), 23% male (N=17), food sciences program. No baseline demographics table by group found in provided pages.",graduate,graduate
51,051_05,Feedback sources in essay writing: peer-generated or AI-generated feedback?,2024,Seyyed Kazem Banihashem; Nafiseh Taghizadeh Kerman; Omid Noroozi; Jewoong Moon; Hendrik Drachsler,Constructive feedback quality,cognitive,create,146,146,1.63,0.44,1.68,0.38,-0.1213,0.1171,-0.3509,0.1083,-0.1216,NA,0.36,0.26,NA,not_reported,not_reported,OpenAlex,10.1186/s41239-024-00455-4,,,,,,,,,,,low,,,,,,,,,,,Peer feedback,ChatGPT feedback,"Overall sample: 74 graduate students, 77% female (N=57), 23% male (N=17), food sciences program. No baseline demographics table by group found in provided pages.",graduate,graduate
52,052_01,Generative AI and Essay Writing: Impacts of Automated Feedback on Revision Performance and Engagement,2024,Sumie Chan; Noble Lo; Alan S.L. Wong,Task Score,cognitive,create,342,576,56.40206,NA,56.68041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RCT,ChatGPT,OpenAlex,,,,,,,,,,,,medium,,,,,,,,,first-year,first-year,Control,Feedback,"Overall sample: 918 first-year students, 55% female, 45% male. 342 assigned to feedback group (AI-generated feedback), 576 to control group (generalized guidance). Gender distribution balanced across groups but specific numbers not provided.",undergraduate,undergraduate
52,052_02,Generative AI and Essay Writing: Impacts of Automated Feedback on Revision Performance and Engagement,2024,Sumie Chan; Noble Lo; Alan S.L. Wong,Revision Score,cognitive,create,342,576,63.98969,NA,61.15464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RCT,ChatGPT,OpenAlex,,,,,,,,,,,,medium,,,,,,,,,first-year,first-year,Control,Feedback,"Overall sample: 918 first-year students, 55% female, 45% male. 342 assigned to feedback group (AI-generated feedback), 576 to control group (generalized guidance). Gender distribution balanced across groups but specific numbers not provided.",undergraduate,undergraduate
52,052_03,Generative AI and Essay Writing: Impacts of Automated Feedback on Revision Performance and Engagement,2024,Sumie Chan; Noble Lo; Alan S.L. Wong,Difference Score,cognitive,create,342,576,7.587629,7.477,4.474227,7.157,NA,NA,NA,NA,NA,NA,NA,0.003604,NA,RCT,ChatGPT,OpenAlex,,,,,,,,,,,,medium,,,,,,,,,first-year,first-year,Control,Feedback,"Overall sample: 918 first-year students, 55% female, 45% male. 342 assigned to feedback group (AI-generated feedback), 576 to control group (generalized guidance). Gender distribution balanced across groups but specific numbers not provided.",undergraduate,undergraduate
52,052_04,Generative AI and Essay Writing: Impacts of Automated Feedback on Revision Performance and Engagement,2024,Sumie Chan; Noble Lo; Alan S.L. Wong,Emotion,affective,not_reported,342,576,4.556701,3.07,3.762887,2.761,NA,NA,NA,NA,NA,NA,NA,0.0611,NA,RCT,ChatGPT,OpenAlex,,,,,,,,,,,,medium,,,,,,,,,first-year,first-year,Control,Feedback,"Overall sample: 918 first-year students, 55% female, 45% male. 342 assigned to feedback group (AI-generated feedback), 576 to control group (generalized guidance). Gender distribution balanced across groups but specific numbers not provided.",undergraduate,undergraduate
52,052_05,Generative AI and Essay Writing: Impacts of Automated Feedback on Revision Performance and Engagement,2024,Sumie Chan; Noble Lo; Alan S.L. Wong,Motivation,affective,not_reported,342,576,5.051546,3.108,3.350515,2.479,NA,NA,NA,NA,NA,NA,NA,4.00E-05,NA,RCT,ChatGPT,OpenAlex,,,,,,,,,,,,medium,,,,,,,,,first-year,first-year,Control,Feedback,"Overall sample: 918 first-year students, 55% female, 45% male. 342 assigned to feedback group (AI-generated feedback), 576 to control group (generalized guidance). Gender distribution balanced across groups but specific numbers not provided.",undergraduate,undergraduate
52,052_06,Generative AI and Essay Writing: Impacts of Automated Feedback on Revision Performance and Engagement,2024,Sumie Chan; Noble Lo; Alan S.L. Wong,Engagement,behavioral,not_reported,342,576,4.969072,3.411,3.989691,2.951,NA,NA,NA,NA,NA,NA,NA,0.0346,NA,RCT,ChatGPT,OpenAlex,,,,,,,,,,,,medium,,,,,,,,,first-year,first-year,Control,Feedback,"Overall sample: 918 first-year students, 55% female, 45% male. 342 assigned to feedback group (AI-generated feedback), 576 to control group (generalized guidance). Gender distribution balanced across groups but specific numbers not provided.",undergraduate,undergraduate
53,053_01,How Self-Regulated Learning Is Affected by Feedback Based on Large Language Models: Data-Driven Sustainable Development in Computer Programming Learning,2024,not_reported,Average assignment score,cognitive,apply,32,31,91.5,3.51,85.613,4.499,1.444,NA,NA,NA,1.462,5.801,NA,<0.001,NA,quasi-experimental,GPT-3.5,OpenAlex,10.3390/electronics14010194,,,,,,,,,,,medium,,,,,,,,,second-year,second-year,Control,Experimental,"Table 1 shows outcome measures only, not baseline demographics. Participants were second-year computer science students. No baseline demographic comparisons reported.",undergraduate,undergraduate
53,053_02,How Self-Regulated Learning Is Affected by Feedback Based on Large Language Models: Data-Driven Sustainable Development in Computer Programming Learning,2024,not_reported,Motivation,affective,not_reported,32,31,5.563,0.982,4.968,1.016,0.5883,0.2574,0.0838,1.0928,0.5957,NA,NA,0.02,NA,quasi-experimental,GPT-3.5,OpenAlex,10.3390/electronics14010194,,,,,,,,,,,medium,,,,,,,,,second-year,second-year,Control,Experimental,"Table 1 shows outcome measures only, not baseline demographics. Participants were second-year computer science students. No baseline demographic comparisons reported.",undergraduate,undergraduate
53,053_03,How Self-Regulated Learning Is Affected by Feedback Based on Large Language Models: Data-Driven Sustainable Development in Computer Programming Learning,2024,not_reported,SRL strategy,metacognitive,not_reported,32,31,4.25,0.984,3.613,1.054,0.6174,0.2579,0.1118,1.123,0.6251,NA,NA,0.011,NA,quasi-experimental,GPT-3.5,OpenAlex,10.3390/electronics14010194,,,,,,,,,,,medium,,,,,,,,,second-year,second-year,Control,Experimental,"Table 1 shows outcome measures only, not baseline demographics. Participants were second-year computer science students. No baseline demographic comparisons reported.",undergraduate,undergraduate
53,053_04,How Self-Regulated Learning Is Affected by Feedback Based on Large Language Models: Data-Driven Sustainable Development in Computer Programming Learning,2024,not_reported,Academic performance,cognitive,apply,32,31,78.696,11.085,72.065,6.153,0.7274,0.2602,0.2174,1.2374,0.7365,NA,NA,0.014,NA,quasi-experimental,GPT-3.5,OpenAlex,10.3390/electronics14010194,,,,,,,,,,,medium,,,,,,,,,second-year,second-year,Control,Experimental,"Table 1 shows outcome measures only, not baseline demographics. Participants were second-year computer science students. No baseline demographic comparisons reported.",undergraduate,undergraduate
54,054_01,Impact of ChatGPT on ESL students’ academic writing skills: a mixed methods intervention study,2024,Santosh Mahapatra,Academic Writing Skills - Post-test,cognitive,create,37,35,20.419,2.575,15.4,1.897,2.1862,0.298,1.6021,2.7702,2.2099,-5.643,NA,3.30E-07,NA,RCT,not_reported,Semantic Scholar,10.1186/s40561-024-00295-9,,,,,,,,,,,medium,,,,,,,,,1st year,1st year,CG,EG,"Age range 18-19 years for all participants, first-year science and engineering students, ESL learners. No detailed demographics table found in provided pages.",undergraduate,undergraduate
54,054_02,Impact of ChatGPT on ESL students’ academic writing skills: a mixed methods intervention study,2024,Santosh Mahapatra,Academic Writing Skills - Delayed Post-test,cognitive,create,37,35,20.419,2.575,15.4,1.897,2.1862,0.298,1.6021,2.7702,2.2099,-9.371,NA,5.54E-14,NA,RCT,not_reported,Semantic Scholar,10.1186/s40561-024-00295-9,,,,,,,,,,,medium,,,,,,,,,1st year,1st year,CG,EG,"Age range 18-19 years for all participants, first-year science and engineering students, ESL learners. No detailed demographics table found in provided pages.",undergraduate,undergraduate
55,055_01,Integrating ChatGPT in Grade 12 Quantum Theory Education: An Exploratory Study at Emirate School (UAE),2024,Yousef Wardat,knowing sub-skill,cognitive,remember,55,57,15.55,2.55,10.63,1.79,2.2249,0.2405,1.7536,2.6962,2.2402,NA,167.41,0,0.401,quasi-experimental,not_reported,OpenAlex,10.18178/ijiet.2024.14.3.2061,,,,,,,,,,,high,29,25,28,30,,,,,Grade 12,Grade 12,Control,Experimental,Table 1 shows participant demographics with age listed as '18 Years' for both groups but no means/SDs provided. Study involves Grade 12 students from UAE schools.,high school,high school
55,055_02,Integrating ChatGPT in Grade 12 Quantum Theory Education: An Exploratory Study at Emirate School (UAE),2024,Yousef Wardat,applying sub-skill,cognitive,apply,55,57,25.49,3.77,16.89,2.86,2.5589,0.2549,2.0593,3.0584,2.5765,NA,150.55,0.005,0.433,quasi-experimental,not_reported,OpenAlex,10.18178/ijiet.2024.14.3.2061,,,,,,,,,,,high,29,25,28,30,,,,,Grade 12,Grade 12,Control,Experimental,Table 1 shows participant demographics with age listed as '18 Years' for both groups but no means/SDs provided. Study involves Grade 12 students from UAE schools.,high school,high school
55,055_03,Integrating ChatGPT in Grade 12 Quantum Theory Education: An Exploratory Study at Emirate School (UAE),2024,Yousef Wardat,reasoning sub-skill,cognitive,analyze,55,57,17.51,3.71,11.73,2.99,1.7071,0.2208,1.2744,2.1398,1.7188,NA,117.8,0.006,0.54,quasi-experimental,not_reported,OpenAlex,10.18178/ijiet.2024.14.3.2061,,,,,,,,,,,high,29,25,28,30,,,,,Grade 12,Grade 12,Control,Experimental,Table 1 shows participant demographics with age listed as '18 Years' for both groups but no means/SDs provided. Study involves Grade 12 students from UAE schools.,high school,high school
